order_id,order_date,customer_name,customer_email,product_id,price,quantity,total
1,2023-01-17 19:23:38.422988,Jeffrey Horton,owilliams@example.org,9,33,3,99
2,2023-01-26 12:00:47.903078,Kathleen Solomon,stephen94@example.net,10,447,3,1341
3,2023-01-11 05:24:29.426910,April Estrada,andrewslauren@example.com,4,409,7,2863
4,2023-01-13 09:08:19.651204,Michael Hansen,sherry25@example.net,15,117,8,936
5,2023-01-19 18:26:47.871434,Leslie Gregory,stephanie36@example.com,14,445,9,4005
6,2023-01-10 22:46:52.242588,Stephanie Woodward,donaldsonamber@example.net,13,408,7,2856
7,2023-01-24 17:33:39.583239,Robert Price,laurieturner@example.net,2,326,8,2608
8,2023-01-21 20:03:36.820882,Robin Gordon,mathisrenee@example.com,8,272,4,1088
9,2023-01-16 07:11:08.297384,Roy Dunn,gail56@example.com,5,398,9,3582
10,2023-01-08 18:07:33.765617,Brandy Sims,njones@example.org,16,466,4,1864
11,2023-01-05 06:52:19.862443,Jason Stone,millsdavid@example.org,5,398,5,1990
12,2023-01-07 06:00:01.856991,Natalie Moore,hamiltonbrooke@example.org,8,272,6,1632
13,2023-01-14 08:58:32.642372,Ryan Davis,stacie93@example.org,3,438,4,1752
14,2023-01-18 08:03:25.116016,Teresa Hurst,ecole@example.org,14,445,8,3560
15,2023-01-08 20:55:22.878135,Stephanie Mitchell,wagnercassandra@example.net,6,305,7,2135
16,2023-01-10 11:39:41.242571,Jordan Walker,vbender@example.net,10,447,2,894
17,2023-01-09 17:17:27.042240,Colton Hawkins,michellecraig@example.com,6,305,2,610
18,2023-01-19 10:29:33.879521,Audrey Bradley,donna98@example.com,3,438,8,3504
19,2023-01-09 23:33:06.587161,Lisa Webb,hdavis@example.org,17,123,4,492
20,2023-01-07 09:06:21.445623,Daniel Grimes,smiller@example.org,6,305,8,2440
21,2023-01-01 09:35:16.193571,Teresa Brady,sgross@example.com,5,398,1,398
22,2023-01-12 10:27:50.956003,Tara Taylor,danielhamilton@example.com,7,98,7,686
23,2023-01-11 00:33:38.084815,Tina Garcia,markcuevas@example.com,19,411,2,822
24,2023-01-07 14:53:51.633636,Jose Mcclure,edwardslisa@example.net,10,447,6,2682
25,2023-01-17 09:54:37.764997,Peggy Allen,reyesmatthew@example.net,14,445,1,445
26,2023-01-25 21:59:44.075387,Heather Hayes,lawsonjonathan@example.net,12,95,6,570
27,2023-01-14 22:32:17.103895,Susan Murphy,elizabeth19@example.org,2,326,3,978
28,2023-01-29 22:47:47.412170,Jennifer Miller,christensenlaurie@example.org,6,305,7,2135
29,2023-01-14 01:02:29.286013,Michelle Ball,richard35@example.net,9,33,8,264
30,2023-01-15 00:01:40.800797,Bridget Gill,qwilliams@example.com,5,398,6,2388
31,2023-01-09 16:13:39.558489,Mr. Eric Cook,hurleymichael@example.org,12,95,2,190
32,2023-01-14 22:49:44.160889,Mrs. Caitlin Ramos MD,fletchersarah@example.com,3,438,4,1752
33,2023-01-07 09:45:46.960016,Erin Alvarez,rangelvalerie@example.org,9,33,9,297
34,2023-01-11 06:41:42.900904,Tiffany Snyder,bpatterson@example.org,1,44,8,352
35,2023-01-05 22:25:29.624451,Terry King,matthew75@example.net,14,445,4,1780
36,2023-01-16 16:54:43.064868,Leslie Bauer,tperez@example.org,6,305,9,2745
37,2023-01-24 00:42:11.016367,Lisa Miller,brittany02@example.com,7,98,9,882
38,2023-01-07 16:10:12.329987,Phillip Moore,ccompton@example.net,4,409,8,3272
39,2023-01-15 04:26:55.540544,Renee Fernandez,kelseykirby@example.org,12,95,9,855
40,2023-01-12 16:18:30.508448,Jennifer Sawyer,curtisterry@example.com,4,409,6,2454
41,2023-01-13 01:04:21.671004,Barbara Porter,millermichelle@example.org,16,466,8,3728
42,2023-01-26 09:45:23.579259,Natalie Frey,vbaker@example.net,10,447,9,4023
43,2023-01-25 04:33:20.937744,Matthew Kelly,traci89@example.com,13,408,4,1632
44,2023-01-01 09:54:24.536837,Michael Richard,deleonmorgan@example.org,3,438,7,3066
45,2023-01-14 01:40:32.120142,Cynthia Vega,wcohen@example.com,16,466,7,3262
46,2023-01-03 17:45:05.916352,Stephen Phillips,michaelburton@example.net,14,445,5,2225
47,2023-01-06 04:36:28.442741,Colton Ho,juliewright@example.org,11,33,1,33
48,2023-01-04 01:04:04.832598,Ashley Lee,lesliepratt@example.net,11,33,8,264
49,2023-01-03 09:54:49.618841,Mrs. Deborah Williams,wreeves@example.com,14,445,2,890
50,2023-01-07 19:27:48.701988,Victor Wilson,ydaniel@example.com,20,351,9,3159
51,2023-01-25 18:20:23.135071,Alejandro Perez,chunter@example.net,7,98,8,784
52,2023-01-04 20:43:49.590621,Margaret Stout,blackdavid@example.org,4,409,6,2454
53,2023-01-07 10:43:41.003874,Stephanie White,wwilliams@example.net,8,272,2,544
54,2023-01-09 07:14:11.936739,Joseph Walker,maria11@example.net,12,95,2,190
55,2023-01-05 22:35:13.861251,Trevor Martin,alloyd@example.com,9,33,4,132
56,2023-01-05 18:45:08.579831,Ernest Mendoza,cruzjulie@example.com,4,409,9,3681
57,2023-01-21 20:45:56.647664,Timothy Leblanc,lowekelly@example.org,12,95,4,380
58,2023-01-27 08:34:23.355191,David Smith,eric57@example.net,3,438,3,1314
59,2023-01-03 17:43:22.679142,George Adkins,aramos@example.org,5,398,1,398
60,2023-01-16 13:31:40.922100,Abigail Lambert,michael08@example.org,20,351,9,3159
61,2023-01-08 04:59:56.141130,Chase Wilson,wponce@example.com,16,466,1,466
62,2023-01-08 19:08:03.024754,Christina Green,francisco08@example.org,11,33,9,297
63,2023-01-03 09:44:08.037186,Jo Edwards,webersara@example.org,1,44,5,220
64,2023-01-02 06:38:38.882688,David Wright,lucastamara@example.org,9,33,9,297
65,2023-01-02 05:23:39.050235,Randy Black,gregorydavis@example.org,9,33,6,198
66,2023-01-28 16:07:03.413778,Marc Oconnor,teresa30@example.net,7,98,6,588
67,2023-01-10 11:15:20.503478,Paul Harrison,hgarcia@example.com,1,44,3,132
68,2023-01-22 03:53:36.688692,Tammy Sanchez,lauren59@example.net,3,438,2,876
69,2023-01-22 23:24:24.139375,James Ashley,parkskatherine@example.net,12,95,7,665
70,2023-01-21 19:35:43.838419,Lydia Gilbert,hheath@example.org,10,447,3,1341
71,2023-01-28 04:25:51.603138,Brittany Ramirez,johnsondaniel@example.org,5,398,2,796
72,2023-01-13 22:34:36.499788,Martin Mann,adamsmelinda@example.com,11,33,5,165
73,2023-01-19 11:35:28.710891,Amber Weaver,ryanhess@example.com,3,438,9,3942
74,2023-01-16 06:31:40.497455,Joseph Stanley,xmadden@example.net,19,411,7,2877
75,2023-01-08 18:12:46.264789,Carla Turner,juareztravis@example.com,13,408,7,2856
76,2023-01-21 17:32:25.055454,Brandy Coleman,jking@example.net,10,447,7,3129
77,2023-01-17 09:57:21.216702,Dr. Kelly Yoder MD,jamesdelgado@example.com,5,398,4,1592
78,2023-01-10 15:16:04.450379,Justin Spencer,andersonmargaret@example.org,4,409,1,409
79,2023-01-15 14:12:42.232151,Jessica Frazier,kfrancis@example.org,4,409,9,3681
80,2023-01-12 04:16:53.886967,Daniel Moyer,sferguson@example.org,6,305,7,2135
81,2023-01-13 12:45:42.836910,Robin Reyes,jessica05@example.com,10,447,1,447
82,2023-01-03 22:23:50.945900,Maria Miranda,vegajoann@example.net,20,351,6,2106
83,2023-01-19 01:54:38.844129,Jonathan Johnson,allenchristian@example.org,20,351,3,1053
84,2023-01-03 15:13:35.513037,Taylor Vega,crystalanderson@example.org,7,98,1,98
85,2023-01-13 01:10:51.455788,Paula Ramirez,alisonbraun@example.net,19,411,5,2055
