order_id,order_date,customer_name,customer_email,product_id,price,quantity,total
1,2023-06-28 13:03:53.361403,Travis Olsen,jessicachang@example.com,8,272,8,2176
2,2023-06-17 20:55:50.020674,Douglas Holmes,john94@example.net,19,411,9,3699
3,2023-06-15 19:34:13.160317,Oscar Gallegos,john99@example.net,11,33,2,66
4,2023-06-06 05:41:26.671627,Anthony Brown,sherivelazquez@example.com,12,95,5,475
5,2023-06-06 22:41:23.983631,Valerie Phillips MD,amy91@example.net,3,438,5,2190
6,2023-06-19 22:17:33.617581,Matthew Lyons,lthomas@example.com,17,123,9,1107
7,2023-06-08 18:05:24.096055,Stephanie Hamilton,warrenpeter@example.com,5,398,1,398
8,2023-06-22 03:56:22.553507,Krista Payne,ehayes@example.net,13,408,2,816
9,2023-06-07 18:00:14.617744,Rachel Brock,allenheidi@example.net,15,117,2,234
10,2023-06-01 03:50:36.152574,Rebecca Cox,samuelgutierrez@example.org,10,447,2,894
11,2023-06-09 05:55:20.443031,Kimberly Meyer,josephcordova@example.com,17,123,3,369
12,2023-06-22 02:22:58.140362,Jordan Stevens,wesleygarcia@example.org,20,351,3,1053
13,2023-06-01 18:10:43.144347,David Curtis,xmitchell@example.org,19,411,1,411
14,2023-06-05 20:42:11.903980,Scott Williams,michaelcollins@example.net,7,98,8,784
15,2023-06-05 11:36:03.182772,Derrick Cherry,reyesjo@example.com,18,73,8,584
16,2023-06-26 06:03:49.450363,Eric Hoffman,ccohen@example.com,4,409,3,1227
17,2023-06-29 12:34:12.631975,Virginia Simpson,smorrison@example.net,11,33,4,132
18,2023-06-17 11:08:44.657910,Elizabeth Jones,powellian@example.com,1,44,2,88
19,2023-06-09 19:15:20.574774,Sarah Sweeney,richardsalazar@example.org,7,98,9,882
20,2023-06-06 16:51:23.737567,James Smith,olivia21@example.com,18,73,9,657
21,2023-06-15 01:25:58.657252,Cody Stevenson,lopezamber@example.com,20,351,5,1755
22,2023-06-08 09:50:39.490264,Vanessa Watson,cingram@example.com,10,447,8,3576
23,2023-06-21 20:07:20.979874,Vanessa Bauer,tgoodman@example.net,3,438,2,876
24,2023-06-07 22:24:40.947874,Adam Davidson,robertmartinez@example.org,2,326,5,1630
25,2023-06-19 04:18:23.358038,David Flores,santiagoangela@example.org,11,33,6,198
26,2023-06-09 18:39:21.042163,Alyssa Ewing,lkhan@example.org,14,445,5,2225
27,2023-06-24 14:45:49.642836,James Walker,courtneywalter@example.com,8,272,3,816
28,2023-06-09 10:55:25.548799,Spencer Scott,zhammond@example.org,19,411,2,822
29,2023-06-15 06:09:44.233024,George Maynard,amylevy@example.net,19,411,3,1233
30,2023-06-17 23:27:00.687687,James Brown,tmoss@example.com,4,409,7,2863
31,2023-06-24 17:24:59.816995,Brittany Johnson,pamelabriggs@example.com,7,98,7,686
32,2023-06-02 17:00:52.288650,Willie Rice,jonwashington@example.org,20,351,6,2106
33,2023-06-06 22:51:35.711098,Jennifer Smith,stephanienolan@example.org,13,408,7,2856
34,2023-06-01 10:18:01.746552,Crystal Brown,liheidi@example.net,6,305,8,2440
35,2023-06-07 23:20:10.793691,Andrea Wood,sandrasandoval@example.net,2,326,3,978
36,2023-06-12 23:19:32.060446,Sarah Mendez,brian96@example.com,13,408,4,1632
37,2023-06-16 06:42:01.637665,Cynthia Grant,autumnmelton@example.org,9,33,2,66
38,2023-06-29 09:52:16.892044,Amanda James,vincentalvarez@example.org,2,326,7,2282
39,2023-06-03 01:35:49.739493,Rachel Bell,stephen98@example.com,1,44,7,308
40,2023-06-29 04:24:37.144340,Gloria Johnson MD,ericahoward@example.net,5,398,4,1592
41,2023-06-27 18:13:37.695188,Lori Larson,petervalentine@example.com,13,408,1,408
42,2023-06-15 07:20:22.917169,Sandra Shaw,stewartkimberly@example.com,9,33,7,231
43,2023-06-17 14:23:20.885836,Joseph Ritter,williamlopez@example.org,19,411,7,2877
44,2023-06-22 18:16:01.918788,Daniel Jacobs,jason22@example.net,13,408,2,816
45,2023-06-16 14:12:11.052090,Christopher Woods,qgeorge@example.org,17,123,6,738
46,2023-06-21 11:36:17.029960,Mary Scott,apatterson@example.com,8,272,9,2448
47,2023-06-20 19:17:19.344794,Jenny Black,brandonolsen@example.com,16,466,4,1864
48,2023-06-13 15:31:47.406051,Hayley Bradley,dawn61@example.org,20,351,1,351
49,2023-06-09 06:12:52.663206,Jason Hutchinson,rdunn@example.org,12,95,8,760
50,2023-06-24 21:14:37.117421,Joseph Ruiz,nicoletanner@example.com,6,305,3,915
51,2023-06-03 21:54:53.634223,Sarah Campbell,rogersbridget@example.net,6,305,1,305
52,2023-06-07 18:46:19.592989,Christina Shaw,greenrachel@example.net,1,44,1,44
53,2023-06-27 16:55:00.357438,Amanda Adams,ryanmiller@example.com,17,123,5,615
54,2023-06-09 20:22:42.762979,Elizabeth Coleman,kennedykristy@example.net,15,117,7,819
55,2023-06-05 10:24:39.458837,Samantha Townsend,brianna46@example.org,15,117,2,234
56,2023-06-20 17:42:51.923957,Gary Simmons,lynn79@example.org,13,408,7,2856
57,2023-06-19 14:51:24.462236,Bailey Irwin,thorntonjessica@example.com,7,98,3,294
58,2023-06-09 04:03:33.560806,Amy Palmer,seth90@example.com,2,326,6,1956
59,2023-06-15 21:14:42.394269,Gregory Sanchez,tara20@example.org,3,438,2,876
60,2023-06-08 04:22:02.758941,Lisa Hendrix,quinnmatthew@example.org,7,98,8,784
61,2023-06-13 02:50:59.961631,Keith Davis,williamstamara@example.com,18,73,7,511
62,2023-06-10 18:30:42.059037,Sherri Collier,hallbob@example.com,11,33,5,165
63,2023-06-19 22:43:22.246665,Laura Mills,hendrixmichelle@example.org,16,466,6,2796
64,2023-06-10 02:52:27.638604,Joseph Smith,bmaxwell@example.com,16,466,9,4194
65,2023-06-05 05:44:54.846204,Kimberly Wells,brooke68@example.com,4,409,4,1636
66,2023-06-17 01:40:56.023345,Kimberly Atkins,kristen50@example.net,18,73,2,146
